ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
72.206.74.126,4145,socks4,no,elite,US,United States,Fairfax,Amalga Systems Inc.,AS22773 Cox Communications Inc.,857,168,99.9,5067,2026-08-20T17:35:48.1539640Z,2026-08-20T17:35:48.1539640Z
72.207.33.64,4145,socks4,no,elite,US,United States,San Diego,Cox Communications,AS22773 Cox Communications Inc.,857,172,99.9,5065,2026-08-20T17:38:15.7282490Z,2026-08-20T17:38:15.7282490Z
98.170.57.231,4145,socks4,no,elite,US,United States,Atlanta,Cox Communications,AS22773 Cox Communications Inc.,857,169,99.8,5066,2026-08-20T17:38:15.7276965Z,2026-08-20T17:38:15.7276965Z
72.205.0.67,4145,socks4,no,elite,US,United States,Herndon,Cox Communications,AS22773 Cox Communications Inc.,858,163,99.9,5064,2026-08-20T17:35:48.1502309Z,2026-08-20T17:35:48.1502309Z
72.205.0.93,4145,socks4,no,elite,US,United States,Herndon,Cox Communications,AS22773 Cox Communications Inc.,858,170,99.9,5065,2026-08-20T17:35:48.1558435Z,2026-08-20T17:35:48.1558435Z
98.170.57.249,4145,socks4,no,elite,US,United States,Atlanta,Cox Communications,AS22773 Cox Communications Inc.,858,169,99.9,5066,2026-08-20T17:38:15.7270503Z,2026-08-20T17:38:15.7270503Z
174.77.111.197,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,858,167,100,5063,2026-08-20T17:35:48.1542148Z,2026-08-20T17:35:48.1542148Z
184.178.172.5,15303,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,858,167,99.9,5064,2026-08-20T17:38:15.7263083Z,2026-08-20T17:38:15.7263083Z
184.181.217.213,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,858,168,99.8,5069,2026-08-20T17:38:15.7273657Z,2026-08-20T17:38:15.7273657Z
98.181.137.83,4145,socks4,no,elite,US,United States,Henderson,Cox Communications Inc.,AS22773 Cox Communications Inc.,859,168,99.8,5068,2026-08-20T17:35:48.1546715Z,2026-08-20T17:35:48.1546715Z
174.77.111.196,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,859,168,99.9,5064,2026-08-20T17:35:48.1557291Z,2026-08-20T17:35:48.1557291Z
199.116.114.11,4145,socks4,no,elite,US,United States,Los Angeles,Total Server Solutions L.L.C,AS46562 Performive LLC,859,175,99.7,5070,2026-08-20T17:38:15.7352791Z,2026-08-20T17:38:15.7352791Z
68.1.210.163,4145,socks4,no,elite,US,United States,San Diego,Cox Communications,AS22773 Cox Communications Inc.,860,170,99.9,5065,2026-08-20T17:38:15.7310639Z,2026-08-20T17:38:15.7310639Z
72.195.114.184,4145,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,860,164,99.9,5064,2026-08-20T17:35:48.1517680Z,2026-08-20T17:35:48.1517680Z
72.207.113.97,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,860,167,99.9,5064,2026-08-20T17:35:48.1556457Z,2026-08-20T17:35:48.1556457Z
183.215.23.242,9091,http,no,elite,CN,China,Guangzhou,China Mobile,AS56047 China Mobile communications corporation,861,230,99.3,1198,2026-08-20T17:36:21.2910062Z,2026-08-20T17:36:21.2910062Z
184.181.217.201,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,861,164,99.9,5066,2026-08-20T17:38:15.7272191Z,2026-08-20T17:38:15.7272191Z
70.166.167.38,57728,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,862,166,99.8,5070,2026-08-20T17:38:15.7283307Z,2026-08-20T17:38:15.7283307Z
24.249.199.4,4145,socks4,no,elite,US,United States,El Cajon,Cox Communications,AS22773 Cox Communications Inc.,863,166,99.8,5067,2026-08-20T17:38:15.7296455Z,2026-08-20T17:38:15.7296455Z
174.64.199.79,4145,socks4,no,elite,US,United States,Lafayette,Cox Communications Inc.,AS22773 Cox Communications Inc.,863,170,99.7,5008,2026-08-20T17:38:15.7350144Z,2026-08-20T17:38:15.7350144Z
142.54.236.97,4145,socks4,no,elite,US,United States,Los Angeles,Performive LLC,AS46562 Performive LLC,864,181,99.8,5053,2026-08-20T17:38:15.7456984Z,2026-08-20T17:38:15.7456984Z
