ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
68.71.249.158,4145,socks5,no,elite,US,United States,Los Angeles,Family Guy Online,AS46562 Performive LLC,1108,210,100,259,2026-08-03T19:13:20.3856846Z,2026-08-03T19:13:20.3856846Z
68.71.251.134,4145,socks5,no,elite,US,United States,Los Angeles,Total Server Solutions L.L.C,AS46562 Performive LLC,1110,199,100,259,2026-08-03T19:13:20.3767346Z,2026-08-03T19:13:20.3767346Z
173.212.234.174,3128,http,yes,transparent,US,United States,San Angelo,Quintex Alliance Consulting,AS62744 Quintex Alliance Consulting,1110,7,87.5,208,2026-08-03T19:11:03.9168714Z,2026-08-03T19:11:03.9168714Z
59.38.113.185,20000,socks5,yes,elite,HK,Hong Kong,Kwai Chung,Heptasky Hong Kong Limited,AS153771 Heptasky Hong Kong Limited,1112,1205,92.1,267,2026-08-03T19:13:28.8006449Z,2026-08-03T19:13:28.8006449Z
184.185.2.12,4145,socks5,no,elite,US,United States,Pensacola,Cox Communications Inc.,AS22773 Cox Communications Inc.,1119,185,98.1,261,2026-08-03T19:13:22.7039705Z,2026-08-03T19:13:22.7039705Z
45.61.188.134,44499,socks4,yes,elite,US,United States,Miami,FranTech Solutions,AS53667 FranTech Solutions,1127,115,83.6,256,2026-08-03T19:11:14.3197629Z,2026-08-03T19:11:14.3197629Z
43.164.3.124,1080,socks5,yes,elite,TH,Thailand,Bangkok,"Tencent Cloud Computing (Beijing) Co., Ltd","AS132203 Tencent Building, Kejizhongyi Avenue",1131,186,99.6,260,2026-08-03T19:14:04.8346974Z,2026-08-03T19:14:04.8346974Z
85.198.90.68,8118,http,yes,transparent,NL,The Netherlands,Amsterdam,TOR Exit and More,AS215125 Church of Cyberology,1132,84,83.3,54,2026-08-03T19:13:54.7119028Z,2026-08-03T19:13:54.7119028Z
102.39.214.109,8080,http,yes,transparent,ZA,South Africa,Edenvale,Vox Telecom (Pty) Ltd,AS11845 Vox Telecom Ltd,1141,221,99.5,182,2026-08-03T19:13:20.4295592Z,2026-08-03T19:13:20.4295592Z
113.160.132.26,8080,http,yes,elite,VN,Vietnam,Phu Ly,Vietnam Posts and Telecommunications Group,AS45899 VNPT Corp,1141,286,99.2,260,2026-08-03T19:13:28.8545782Z,2026-08-03T19:13:28.8545782Z
113.249.101.194,18255,http,yes,elite,CN,China,Chongqing,Chinanet CQ,AS134420 Chongqing Telecom,1148,234,82.7,277,2026-08-03T19:13:27.8644296Z,2026-08-03T19:13:27.8644296Z
46.62.189.77,8888,http,yes,transparent,SE,Sweden,Malmö,1337 Services LLC,AS39287 Materialism s.r.l.,1149,28,91.8,268,2026-08-03T19:10:35.2242839Z,2026-08-03T19:10:35.2242839Z
212.58.132.5,8888,http,yes,transparent,GB,United Kingdom,London,"NSFOCUS, Inc","AS8757 NSFOCUS, Inc.",1150,1275,95.1,266,2026-08-03T19:14:21.0006887Z,2026-08-03T19:14:21.0006887Z
142.54.232.6,4145,socks5,no,elite,US,United States,Los Angeles,Performive LLC,AS46562 Performive LLC,1162,196,99.6,260,2026-08-03T19:15:26.2980773Z,2026-08-03T19:15:26.2980773Z
142.54.237.38,4145,socks5,no,elite,US,United States,Los Angeles,Performive LLC,AS46562 Performive LLC,1164,190,99.2,260,2026-08-03T19:15:26.2939698Z,2026-08-03T19:15:26.2939698Z
113.204.79.230,9091,http,no,elite,CN,China,Jinrongjie,huazhenggongXS com,AS4837 CHINA UNICOM China169 Backbone,1167,265,99.2,260,2026-08-03T19:13:20.8429054Z,2026-08-03T19:13:20.8429054Z
8.213.151.128,3128,http,no,transparent,KR,South Korea,Seoul,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",1179,292,98.1,262,2026-08-03T19:13:28.8982228Z,2026-08-03T19:13:28.8982228Z
45.169.105.151,1085,socks4,yes,elite,AR,Argentina,Córdoba,VOS SRL,AS267764 VOS SRL,1213,235,78.9,247,2026-08-03T19:13:27.9317249Z,2026-08-03T19:13:27.9317249Z
123.138.24.114,8800,http,yes,elite,CN,China,Xi'an,CNC Group CHINA169 Shanni Province Network,AS4837 CHINA UNICOM China169 Backbone,1217,1381,98.5,262,2026-08-03T19:13:21.6649746Z,2026-08-03T19:13:21.6649746Z
101.66.198.254,8085,http,no,elite,CN,China,Hangzhou,CNC Group CHINA169 Zhejiang Province Network,AS4837 CHINA UNICOM China169 Backbone,1220,219,95.4,261,2026-08-03T19:13:20.5090231Z,2026-08-03T19:13:20.5090231Z
36.138.206.172,1080,socks5,yes,elite,CN,China,Guangzhou,China Mobile,"AS9808 China Mobile Communications Group Co., Ltd.",1224,248,98.9,261,2026-08-03T19:14:04.9907723Z,2026-08-03T19:14:04.9907723Z
1.231.81.166,3128,http,yes,transparent,KR,South Korea,Jongno-gu,broadNnet,AS9318 SK Broadband Co Ltd,1228,301,99.2,260,2026-08-03T19:13:20.9388399Z,2026-08-03T19:13:20.9388399Z
43.99.100.108,3128,http,yes,elite,HK,Hong Kong,Hong Kong,Alibaba.com LLC,"AS45102 Alibaba (US) Technology Co., Ltd.",1232,249,100,8,2026-08-03T19:14:26.4651592Z,2026-08-03T19:14:26.4651592Z
121.169.46.116,1090,socks5,yes,elite,KR,South Korea,Suwon,Sudogwongangnambonbujang,AS4766 Korea Telecom,1234,207,88.1,268,2026-08-03T19:13:20.5123792Z,2026-08-03T19:13:20.5123792Z
219.151.182.122,18255,http,yes,elite,CN,China,Chongqing,Chinanet CQ,AS134420 Chongqing Telecom,1240,170,78.6,257,2026-08-03T19:13:27.8938080Z,2026-08-03T19:13:27.8938080Z
219.249.37.107,8197,http,no,elite,KR,South Korea,Busan,broadNnet,AS9318 SK Broadband Co Ltd,1246,308,86.6,187,2026-08-03T19:11:06.5924921Z,2026-08-03T19:11:06.5924921Z
2.78.60.10,3129,http,yes,transparent,KZ,Kazakhstan,Almaty,"""KCell"" JSC",AS29355 Kcell JSC,1255,321,97,263,2026-08-03T19:13:28.0598796Z,2026-08-03T19:13:28.0598796Z
123.138.24.112,9443,http,yes,elite,CN,China,Xi'an,CNC Group CHINA169 Shanni Province Network,AS4837 CHINA UNICOM China169 Backbone,1258,195,100,260,2026-08-03T19:13:28.8802243Z,2026-08-03T19:13:28.8802243Z
37.59.125.131,8888,http,yes,transparent,FR,France,Saint-Jean-sur-Veyle,ProXad network / Free SA,AS12322 Free SAS,1261,16,92.9,269,2026-08-03T19:13:20.6894381Z,2026-08-03T19:13:20.6894381Z
183.248.129.5,17981,http,yes,elite,CN,China,Hangzhou,China Mobile Communications Corporation,AS56041 China Mobile communications corporation,1265,239,76.8,289,2026-08-03T19:15:27.3673949Z,2026-08-03T19:15:27.3673949Z
45.153.4.154,3128,http,yes,transparent,US,United States,Columbus,Ipx,AS211826 Istqrar for Servers Services Ltd,1266,46,97.7,264,2026-08-03T19:15:32.9778222Z,2026-08-03T19:15:32.9778222Z
72.49.49.11,31034,socks5,no,elite,US,United States,Cincinnati,Fuse Internet Access - BRAS Norwood Region,AS6181 Cincinnati Bell Telephone Company LLC,1280,235,100,259,2026-08-03T19:13:20.9277322Z,2026-08-03T19:13:20.9277322Z
66.42.224.229,41679,socks4,no,elite,US,United States,Cincinnati,Altafiber,AS6181 Cincinnati Bell Telephone Company LLC,1317,1267,100,259,2026-08-03T19:13:23.9839582Z,2026-08-03T19:13:23.9839582Z
114.236.137.41,21000,http,yes,transparent,CN,China,Nanjing,Chinanet JS,AS4134 CHINANET BACKBONE,1344,1208,85.9,277,2026-08-03T19:13:23.9510734Z,2026-08-03T19:13:23.9510734Z
